userName,score,at,content
Orytama Jr,5,2026-07-04 03:43:42,"shopee memang pilihan terbaik untuk belanja online,pokoknya puas banget dengan shopee 😍 belanja jd lebih mudah & banyak vocher diskonnya,tingkatkan terus ya shopee biar tetap yg terbaik 👍👍👍"
mhmmd abdullah,1,2026-07-04 03:42:26,"Jasa kurir JNE jangan dipake lagi kurirnya ga amanah, nyesel saya udah bayar tapi barang sampe ke orang lain, mau hubungin pun nomornya gaada, minta pengembalian dana, prosesnya lama, kecewa banget lah mending belanja ditoko lain ajaa.."
Irsaadd,1,2026-07-04 03:40:54,bug itu dibenerin dulu lah kocak
Misti Mistini,5,2026-07-04 03:40:51,lumayan
Petrus Purnama,5,2026-07-04 03:39:59,shopee memang OK
Kevin Fhirmansah,5,2026-07-04 03:39:28,tidak ada yang sesuai
Iklil Iklil,5,2026-07-04 03:37:36,sangat seru belanja dishopee
Volunteers High,1,2026-07-04 03:36:48,iklan terk0ntoul ya shopee
Jover Sedubun,5,2026-07-04 03:35:24,mura sekali dan bayar langsung
Afrizal Danil,5,2026-07-04 03:34:27,good
Solikhindkr,1,2026-07-04 03:30:54,"aplikasi yg paling menyebalkan, iklan nya di mana mana mengganggu kenyamanan"
Udin Saepudin,3,2026-07-04 03:30:22,"App Shopee bagus....... cuma kalau pas buka app kenapa langsung play video. Jadi ribet kalau mau cari barang harus balik ke home dulu. meski sudah buka home juga suara dari video masih tetap ada. harus di close, masuk lagi ke app, harus segera tekan home. kalau gak begitu videonya jalan lagi"
Rafi Sultoni,1,2026-07-04 03:28:03,"iklan nya bikin emosi, aplikasi ngerugiin banyak orang"
Isman Thorik Maulana,1,2026-07-04 03:27:50,"please stop iklan lu udah kaya virus/hama gabisa dilewatin,kalau mencet x tetep dibawa ke aplikasi,iklan di semua aplikasi. udah kaya yahudi lu bro"
Entis Sutisna,5,2026-07-04 03:26:57,mantap ... 👍
Muhammad Rafiq,1,2026-07-04 03:25:57,"shopee apk maksa didownload, iklan nya ngeselin lagi enak"" ngegame malah masuk play store"
Sugiyem Sugiyem,1,2026-07-04 03:25:12,gajelas capit koin nya anjir
Romy Prayitno,1,2026-07-04 03:24:55,"Baru masuk langsung ke live video, sudah pindah ke menu lain masih ada suaranya sangat mengganggu, aplikasi masih ngebug, clear chace internet stabil sudah update versi terbaru masih tetap aja sama, sudah buka toko ini toko itu suara short video masih aja kedengaran edan yg bikin aplikasi sudah tingkat dewa."
Akmal Z,1,2026-07-04 03:21:49,iklan nya nyusahin orang
Maka Sih,5,2026-07-04 03:21:20,👍
Nia Nia,5,2026-07-04 03:20:26,menarik simple bagus
Bg Bud,1,2026-07-04 03:19:25,"iklan kalian terlalu maksa bgtt,,,di setiap apk pasti ada aja padahal udh tekan tombol silang tapi ttp masuk ke shopeee,,kurang kurangin deh iklan nya setiap mau nonton,,baca ada aja keluar iklan kalian"
Nur Fadillah,5,2026-07-04 03:18:56,saya sangat suka dengan aplikasi ini mempermudah saya untuk membeli barang sangat berguna untuk semua orang😗👏🏼
Hasriana Ana,5,2026-07-04 03:17:50,nikmat bisa belanja belanja cepat datangnya dan bagus barangnya
SESEP MUHAMMAD ARYA SANTANA,5,2026-07-04 03:17:43,semoga bagus trus yah bos
Fazriel Anzalla,3,2026-07-04 03:17:42,adain fitur nomor jasa pengantaran dong
Fathan,5,2026-07-04 03:14:49,harganya murah ongkir nya juga murah
Mimin Oppo,5,2026-07-04 03:11:33,sangat puas
Elvia Zumitra,5,2026-07-04 03:10:17,baik
fachmi yadi,2,2026-07-04 03:06:37,duit hilang akun d sadap hati2 ia
Buldani Fajri,5,2026-07-04 03:03:12,"toko serbaada yang lengkap dan membantu berbagai keperluan sehari-hari kami, dan dipastikan dapat menjangkau barang yang tidak di temukan di toko/ tempat kami, terlebih di lingkungan pedesaan"
Aisyah Jannatul risvi,1,2026-07-04 03:02:38,BANYAK IKLAN GA NGOTAK NGEGANGGU
Achmad Dikri,5,2026-07-04 03:01:43,josss
Nur Hasanah,5,2026-07-04 02:57:26,saya sangat suka berbelanja di shopee meskipun ada 1 barang yang tidak sesuai tapi yang lainnya aman lahh
Yaya Sanjaya,5,2026-07-04 02:57:01,ok
ADE IRAWAN,1,2026-07-04 02:56:51,"kenapa barang yang di keranjang ke co semua ,padahal nggak ada yang login, ada 28 paket ,cod semua pulak,puluhan juta 😀"
HendriHeni Rahma,5,2026-07-04 02:56:36,bgus
Risky Rasya,2,2026-07-04 02:56:24,Asisten AI chat shopee ngeselin dan menyebalkan Buat penjual ga balas chat secara langsung
Mas Win,5,2026-07-04 02:55:45,bagus
Ahmadreyhanramdhan,5,2026-07-04 02:54:46,"sangat membantu, Terima kasih"
Badri Badri,5,2026-07-04 02:53:22,aplikasi yg sangat membantu
Alisa Hayani,1,2026-07-04 02:52:49,"ganggu bgt ni aplikasi, iklan ga di pencet pun malah login ke shopee"
Adel Liya,5,2026-07-04 02:49:20,saya suka aplikasi shopee ini
Azay Aze,1,2026-07-04 02:49:11,"baru kemaren di update sekrang minta di update lagi,apa tiap hari tah update nya"
Kevin Suryaharja,1,2026-07-04 02:47:01,"ribet buat log in ulang, akun lama tiba² hilang begitu mau log in ulang pakai akun dan no telp yang sama malah dibilang nomor bajakan harus pakai nomor baru, Wong nomor saya cuma satu doang, belum juga iklan nya buat apasi iklan nya bikin tanda X palsu bikin ribet tau ga tambah bikin apa apa hilang contoh kalau ada tugas bikin video ataupun foto ataupun lagi quiziz gitu kalau ada iklan ni aplikasi gaperlu sentuh hp pun tiba² masuk apk sendiri yang bikin semua fto video ataupun quis hilang -10000"
Sri Umala,5,2026-07-04 02:46:48,barang tersedia mempermudah belanja online sapai di rumah dan harga murah apalagi KLW ada promo atau lagi live
Muh Syawal,1,2026-07-04 02:45:17,maaf saya pke apk ini sudah 3 tahun' tapi tdi saya memesan ke semua tokoh pengiriman nya di kemas sampai 4 hari belum di kirim jasa pengiriman dan itu sangat berat melihat tangal hampir setengah bulan baru sampai ke penerima dan Harini 2026 saya akan hapus apk ini 🙏
Adit,5,2026-07-04 02:42:37,mantap
chen aa,1,2026-07-04 02:41:18,kebanykan iklan maksa lagii bad bngt💔
Rita Sitanggang,1,2026-07-04 02:37:41,caper bat iklanya setan
Adie yasta,2,2026-07-04 02:37:31,"Setelah di update ke versi terbaru,kenapa malah malah bermasalah,opsi pencarian tidak sesuai sama apa yang saya cari.contoh saya ketik ps4 filter harga di 2jt tapi yang muncul bukan ps4.moahon segera di perbaiki."
Putra Fokerrr,5,2026-07-04 02:36:42,1000 rekomend deh
Dede Hermawan,4,2026-07-04 02:36:10,sdih bgt dpt limit. kcil bgt mau ngpain2 ssh mau cicil. hp jga ssh tlong dibantu doang ka limit cicil gdein akur bwl basmet
NUR Heni,5,2026-07-04 02:35:23,senang berbelanja di shopee
Adnan Ardhani Channel,5,2026-07-04 02:33:45,Mantap
Hasyifa Salsabila,2,2026-07-04 02:33:11,"iklannya ganggu bgt dikit"" belum 5 ment udh banyk bgt iklannya nyebelin bg"
Masguh,5,2026-07-04 02:33:05,mantap
Mawaddah,5,2026-07-04 02:31:48,belanja hemat hati senang semangat pejuang rupiah
Saras Wati,3,2026-07-04 02:31:15,plis ya shopee gausa kirim kirim notif barang dikirim/hadiah dikirim pdhal ga order apapun!! skrg lagi bnyak bgt penipuan cod kalo ada notif kyk gitu itu jadinya mikir apa bener ada hadiah dr shopee. benci bgt
Eka Wulandari,5,2026-07-04 02:26:13,Aplikasi belanja yang mudah digunakan.
dhyani indhri shyta,5,2026-07-04 02:23:44,belanja murah tanpa ribet.. ga perlu JD sultan beneran u bisa belanja dengan daster dan punya kurir yang mumpuni .. sering gratissssan pula...
duk kron cumi,5,2026-07-04 02:19:45,sangat aplikasi yang sangat membantu online shop
salfa khairia,1,2026-07-04 02:18:41,"iklan nya ganggu bangettt aslii dimana mana ada iklan dan langsung masuk ke shopee pula , lagi ga ngapa2in tbtb masuk ke shopee ,tlg lah di perbaiki udah banyak yg ngeluh soal iklan hadeuhh"
Bobond,5,2026-07-04 02:17:25,"luar biasa, saya sangat suka"
ibnu salimin,5,2026-07-04 02:17:10,so good..
Ilham Muhammad,5,2026-07-04 02:14:45,matap sopi ini saya terimakasih atas aplikasi ini semenjak ada sopi tidak ada LG ulo koros
Caramell,1,2026-07-04 02:12:49,"ini aplikasi punya iklan kek sampah bgt, udh klik tanda silang malah masuk aplikasinya mana kaga bisa cepet cepet keluar lagi maksa bgt dah ni iklannya"
Nirmala,5,2026-07-04 02:12:27,banyak diskonan jadi belanja lebih hemat
Budi Supriadi,5,2026-07-04 02:12:18,aplikasi mantaaaaaap...👍
Tri Widiyanto,5,2026-07-04 02:08:39,"terima kasih atas pelayanan nya,kami puas"
Gatot Brajamusti,5,2026-07-04 02:07:50,"selama ini sangat puas blanja di shopee, cara mudah tidak ribet dan selernya ramah2"
Muhammad Fajar Armi,1,2026-07-04 02:04:18,"TOLONG FITUR COD D HAPUS AJA YA AJG, NGERUGIIN CUST DAN KURIR"
Pak Lurah,5,2026-07-04 02:03:21,PUAS BANGET BELANJA DISINI
Zur Yanda,5,2026-07-04 02:02:29,belanja dgn mudah
Devi Puryani,3,2026-07-04 02:02:16,"mengapa skrng shoppe saya sulit dibuka please help Min,,,"
Batam Nagoya,5,2026-07-04 01:57:36,mantap dan Ok
Nami,1,2026-07-04 01:56:12,"force closed mulu, ganggu banget!!"
nada nd,1,2026-07-04 01:55:46,"buruk sekali iklannya, tolong diperbaiki"
Roriansyah Ramdhani,1,2026-07-04 01:55:37,makin buruk saja makin ribet kalau Meu mengembalikan barang
Leni Leni,4,2026-07-04 01:54:42,puas
Ady Kanzia,5,2026-07-04 01:54:19,sangat membantu
Dewa Toyodo,5,2026-07-04 01:53:28,"gw beli barang di Shopee GA bakal nyampe jir, PHP doang, mendingan Tokopedia/Tiktok shop jir 3-4hr udh nyampe, bisa diambil sendiri lagi."
Nur Malasari,1,2026-07-04 01:47:21,usahakan sedikit iklan soalnya gue lagi sibuk
Indi Rahmania hirudin,1,2026-07-04 01:46:13,"plisss iklannya jangan terlalu maksa, tugas saya hilang gara gara iklan shopee.!"
dildul,1,2026-07-04 01:45:41,"iklannya kalo buka apk lain ganggu banget, maksa buka appnya mulu gila. kalo gw buka app lu gabikin gw mau beli apa apa peuy"
Sherly Tarigan,1,2026-07-04 01:45:03,"terlalu banyak iklan ni apl,dimana² ada iklan"
Ea Diana,5,2026-07-04 01:41:59,Mksih
Erwan Yuliadi,1,2026-07-04 01:38:08,aplikasi yang kalau ngecek alamat paket selalu nyeleneh dan iklan yang maksa dan pengiriman lambat padahal barang yang ku pesan sudah EXTR cepat tetapi tetap lambat padahal bangrang itu adalah barang yang mau ku kasi ke ibu saya sebagai hadia dan barang nya malah telat datang semoga bnyak yang tidak download dan cepat bangkurut
fenny Alesha,5,2026-07-04 01:36:12,good
Sam Koig,5,2026-07-04 01:34:39,mantap selamat tiba suka 😁
Yuga Adi pratama,1,2026-07-04 01:29:06,"kalau bikin iklan mikir mikir min,saya lagi buka web buat ngerjain tugas malah disuruh ke aplikasi shopee Mulu alhasil tugas saya hilang.gausah maksa kalo bikin iklan,bukannya menarik malah bikin risih"
Diba abduh,1,2026-07-04 01:27:02,"iklannya dimana2 dan sangat sangat sangat mengganggu. walopun aku sering blanja di shopee, tp aku benci banget banget sm iklan shopee, gaada etikanya, gabisa di close, maksa. mentang2 punya duit lalu semena2. klo bs blanja tempat lain aku mau pindah aja, biar ga ngasih duit ke aplikasi yg gapunya etika"
Budi Setiawan,5,2026-07-04 01:24:37,memudhkn dlm kebutuhan perbelanjaan kita
Asriadi Arsad,5,2026-07-04 01:22:59,sanagt baik
Bima Sitio,1,2026-07-04 01:16:09,aplikasi ini semakin ribet. tolong perbaiki sistemnya. untuk merubah alamat pengiriman sangat sulit. saya ingin merubah alamat tapi tidak bisa.
Bahtiar Nanang,5,2026-07-04 01:15:45,sangan membantu untuk belanja online
Fitri Ani,5,2026-07-04 01:10:12,sy sngat suka skli sy bisa membeli barang yg sy inginkan dan banyak promo menarik lain nya 👍🥰🙏
Muhammad aldi Firmansyah,5,2026-07-04 01:08:27,anjai
tias,1,2026-07-04 01:07:37,CAPEK BANGET... BISA GA SIH KALO BUKA SHOOPEEE KAGA USAH LANGSUNG DI LIVE.. DI BERANDA AJA.. BERISIK BANGET.. 😭😭😭😭😭😭😭 CUMA PENGEN TAU BARANG UDAH SAMPE MANA.. PAS DI KANTOR MALAH DI SANGKA SCROLL TKTK
Jirjat,1,2026-07-04 01:05:20,aplikasi bosok kalau mau download game/aplikasi di crome apa apa munculnya Shopee terus
Bela Safira,3,2026-07-04 01:05:16,gimana sih shopee katanya 1 aplikasi shopee bisa 3 akun tapi yang bisa checkout cuma 1 akun
Bagas Ganteng,1,2026-07-04 01:03:25,pengiriman sangat lama
Dhen March,5,2026-07-04 01:02:48,aplikasi yg sering saya gunakan tapi entah kenapa sistem hp ku bilang aplikasi jarang di gunakan nyuruh di hapus saja kan aneh ini aplikasi maksa banget nyuruh di buka karena sekarang banyak kompititor nya salah satu nya tiktok yang sanggat mendominan saat ini
Salsa Bilaputri,1,2026-07-04 01:02:03,"iklannya maksa banget. kalau mau banyak yang pakai ni aplikasi tolong jangan SE ribet ini saya pernah baca katanya tugas org sampai hilang karena iklan ini, apa Ini benar?, jadi tolong jangan sampai keluar aplikasi yang saya sedang gunakan & org org, org org itu risih apalagi sampai tugasnya hilang, itu saja dr sya."
muhammad rozikin,2,2026-07-04 01:02:01,iklan kalian menyebalkan mau masuk web tiba-tiba malah ke aplikasi kalian mulu capek bolak balik aplikasi. padahal dalam penjualan harga barang kalian bagus tapi iklannya menyebalkan
Nafisa Yusuf,1,2026-07-04 01:00:39,"maaf sekali tolong ya kalo iklan itu lebih sedikit di ponsel,saya lagi mewarnai di ibis paint tapi saat iklan dan saya klik lewati atau ""X"" malah ke shopee alhasil warna itu menghilang, tangan saya sudah capek itu saya lagi belajar mewarnai jadi tolong kurangi iklan shopee di ponsel"
el channel,5,2026-07-04 00:58:44,keren
keisya official,5,2026-07-04 00:57:40,Ok
Fatah,5,2026-07-04 00:56:18,𝐛𝐚𝐠𝐮𝐬 𝐛𝐢𝐬𝐚 𝐛𝐞𝐥𝐢 𝐚𝐩𝐚 𝐬𝐚𝐣𝐚 𝐝𝐚𝐧 𝐝𝐚𝐭𝐚𝐧𝐠𝐧𝐲𝐚 𝐜𝐞𝐩𝐚𝐭
Isagi Yoichi,5,2026-07-04 00:54:48,sejauh ini aman. tingkatkan lagi
Andi Maulana,5,2026-07-04 00:52:57,tlong krangin iklan
Cerita Berbagi,4,2026-07-04 00:52:53,bagus
Indri Ver,1,2026-07-04 00:52:38,"jelek kali lama lama sopi ini ,pengiriman makin lama makin gak jelas diluar expetasi waktu pemyampaian barang , outlet dimana mana tp pengiriman lewat dari tgl yg ditentukan , mending aku pake tokped atai tiktok lebih tepat waktu sampai barangnya buruk makin lama pengiriman lelet gak layak lagi pake sopi promo gak jelas chat ke custemer seevisnya iti itu aja jawabannya sangatvaangat buruk"
Chylvia,1,2026-07-04 00:49:53,"terlalu banyak iklan ngeselin, udah klik tanda silang ternyata palsu, suka tiba tiba masuk ke aplikasinya padahal gak ada klik iklannya, mengganggu banget"
Erni Adeeva,5,2026-07-04 00:41:12,semua yg dibutuhkan ada..
Rahma yudi,1,2026-07-04 00:39:13,iklan aplikasi ini selalu menyampah dan terkesan memaksa dimana² 👎
Alfa Rizal,5,2026-07-04 00:35:48,Shopee Aplikasi Cukup Membantu
Eke,5,2026-07-04 00:31:24,"selama ini bagus,sangat membantu"
Mbah Suro,1,2026-07-04 00:27:56,"reward atau coin terlalu pelit. cuma 10 rupiah, zaman sudah serba mahal dapat rewardnya cuma 10 rupiah. bintang1 untuk reward atau coin yang sangat pelit sekali."
Agus Marpaung,5,2026-07-04 00:26:34,bagus banget bagus banget bagus banget
Winda Game,2,2026-07-04 00:25:30,"Selalu hilang fitur COD nya padahal gak ngelakuin pelanggaran, dan juga tiap muncul iklan shopee pasti langsung masuk ke apk shopee meskipun udah klik X"
Andrie Purnawan,5,2026-07-04 00:22:11,aplikasi yg sangat bagus
Khusnul Khuluq,5,2026-07-04 00:19:57,bagus
ISKANDAR MUDA,1,2026-07-04 00:14:57,kalian terlalu lambat dalam meng-update pengiriman paket sudah bisa berbenah kalah dengan app sebelah
Teni Kristianti,1,2026-07-04 00:13:38,"tong iklan nya jangan terlalu lebay dan jangan terlalu maksa, gasuka bngt lagi nonton iklan shopee lagi baca iklan shopee mana iklan jebakan lagi, di pencet ga si pencet ttp masuk ke shopee, jadi banyak yg harus dimulai dari awal, mohon iklan ny dikurangi jangan terlalu lebay"
Galang Sangar,5,2026-07-04 00:13:16,mantap
Agus Sakirin,4,2026-07-04 00:00:49,"Tolong kasih fitur balas komentar diulasan-ulasan & penilaian produk, greget banget sama orang-orang T*lol yang belanja disini. Banyak yang minim literasi"
Arka Aditya,5,2026-07-03 23:58:46,sangat senang berbelanja di aplikasi ini banyak voucher nya juga the best deh
nortajudin fahri,5,2026-07-03 23:58:13,Bagus
indriyani05,1,2026-07-03 23:56:12,"Jujur kecewa banget sama kurir shopee sekara. Kurirnya kelihatan banget suka nunda-nunda, status di aplikasi cuma muter-muter tapi paket nggak pernah sampai. Udah ditungguin terus, malah nggak ada kejelasan sama sekali. Yang bikin makin kesel, ujung-ujungnya paket malah dibalikin lagi ke gudang tanpa alasan yang jelas. Padahal belum pernah dihubungi atau dicoba kirim dengan serius. Tolong banget ini diperhatiin, karena sebagai pembeli jelas dirugikan, buang waktu dan bikin kesel."
Azka Ramdhani,5,2026-07-03 23:52:54,aplikasi nya bagus banget
uknown,2,2026-07-03 23:52:49,shoopee mahal sekarang masa. iya barang 30 ribu sama ongkirnya jadi 80 ribu(lebih sering beli di tik tok dari pada shoope)
Nada,1,2026-07-03 23:52:29,iklan yg paling maksa
Sella Aceh,1,2026-07-03 23:52:01,ngeleq
Fideliskusnadi Kusnadi,5,2026-07-03 23:51:18,"shopee sangat membantu,"
Ibu Suprani,1,2026-07-03 23:48:59,iklan nya tolong
Muzan,1,2026-07-03 23:44:59,"IKLANNYA benar² sangat menganggu. Lagi download data game, iklannya malah muncul dan membawa kita untuk membuka aplikasinya, dan terpaksa mengulang lagi download datanya"
Doni Initria,5,2026-07-03 23:43:37,Mudah untuk berbelanja
annora A.M,2,2026-07-03 23:43:21,"Banyak toko penipu mengirim barang tidak sesuai deskripsi tapi ketika di tolak pembeli malah di kenakan sangsi tidak bisa COD , apk ini butuh lebih perlindungan konsumen"
Sahrul Frefire12,1,2026-07-03 23:35:56,makin kesini makin ga sesuai waktu pengiriman nya pesen yang express di tulisan nya dateng satu hari malah tiga hari dateng nya percuma bayar lebih juga di aplikasi mmk kaya gini
Amin Wahyudi,1,2026-07-03 23:31:01,"trauma top up etoll pake shoope udah gak masuk direfund ditolak ,padahal pembayaran berhasil ,bukti riwayat transaki ada kalau belom masuk parah anje"
Siti Umaeroh,1,2026-07-03 23:21:56,iklan banyak dimana mana. membosankan..!! nyusahin
Raline Hawa Almahyra,5,2026-07-03 23:20:08,luar biasa pkonua i love shopee😍😍
Adib Kiswara,5,2026-07-03 23:15:55,awale bagus.. ahir2 ini aplikasinya gila
Juhaeri Juhaeri,5,2026-07-03 23:10:24,"SUMPAHHH INIII BAGUSSSS BANGETTTT BANYAKKK YGG GERATISS ONGKIRR😍🙌😽🙀,BELANJA LEBIHH HEMATT Tapii iklann nyaa ngeganggu bangettt tapi bagus sihh aplikaso shopee ini aku kasih bintang 5 dehhh😺💅😋"
Muhaimin Riski Aminullah,2,2026-07-03 23:05:38,"saya ubah ulasan ya, akhir akhir ini saya kecewa belanja di shopee, karena pengiriman nya saat saya pesan produk lama pengirimanya 5 hari, 7 hari, dan ada pesanan saya tiba dalam 12 hari 🙂‍↕️. saya chekout barang dari kota yang perjalanan nya dua jam dari rumah kan harusnya perkiraan datang dalam waktu 3 hari, nah app ini bisa 4 hari. apa gua pindah pesan di tiktok shop aja ya, soalnya kalau pesan dari kota jauh pun tiba dalam waktu 3 hari, dan kota terdekat 2 hari"
Nur Irdina Aisyah,1,2026-07-03 23:03:51,"aplikasi tidak bisa dibuka, udah cek, gak ada update baru, udah restart internet sampe sinyal mentok ke kanan, masih gak bisa, udah hapus cache bahkan penyimpanan masih belum bisa, sudah restart ulang hp pun gak bisa juga"
muhammad akbar,1,2026-07-03 22:59:03,"terlalu banyak iklan shopee, seperti platform pinjol aja"
Najeda,1,2026-07-03 22:58:09,iklan nya ngeselin
Lalu Moh Akbar (Akbar),5,2026-07-03 22:57:53,"saya paling percaya belanja di shopee, pengiriman cepat,kurir ramah,Peking aman barang sesuai pesanan ,mantab,semoga selalu dipertahankan dan lebih baik kedepannya"
Didi Riyadi,5,2026-07-03 22:56:47,selama ne shope yg terbaik
Pranata,5,2026-07-03 22:51:09,bagus banyak promo nya
Muhammad Mukhlasin,5,2026-07-03 22:50:43,sangat memuaskan
Ismail Harun,1,2026-07-03 22:46:47,"maf saya kasih reting 1. terkait kasus yang belum tertangani, terkait pesanan yang tidak sesuai, dan dana sudah di serahkan ke pihak toko, dan pihak toko sampai saat ini tidak mersepon, lumayan banyak sekitar 1,2jt. mohon tim shope menyelidiki praktek penjualan yang tidak bertanggung jawab, yang mengirimkan barang tidak sesuai deskripsi. dan tidak ada etitut yg baik, ketika di konfirmasi barang yang tidak sesuai pesanan, terimaksih.."
Vina Avrilia,5,2026-07-03 22:46:03,mantapppp
Isna Jahit,5,2026-07-03 22:43:07,puas banget dengan shopee
Xxynai,1,2026-07-03 22:41:34,"pelayanan dan barang yang ada di sini lengkap dan aku sudah puas. yang meresahkan cuma satu, IKLANNYA. Aku nggak peduli itu iklan tujuannya apa dan aku juga nggak pernah mau baca iklannya, tapi iklannya bener-bener ganggu parah. saking ganggunya iklan judol sampe kerasa lebih mendingan ketimbang iklan shopee."
Ade betta fish purple,4,2026-07-03 22:40:52,bagus
Faiz Alarkhan,5,2026-07-03 22:35:30,sangat bagus
Mad Mapin,5,2026-07-03 22:31:33,"mantap, luar biasa."
Fitrah Fajrin Suwarto,5,2026-07-03 22:25:48,keren
Hendrawan Fernando,2,2026-07-03 22:22:15,menu penilaian sudah di hilangkan . Mala melindungi toko toko maling . ada pun baru muncul seminggu itupun pembeli yg di rugikan sudah lupa. makin bobrok aturan nya . harus nya barang sampai langsung kasih nilai.bukan nya malah toko toko curang di lindungi. menu ajukan pengembalian juga percuma ujung nya shoppe membela toko dan setuju tolak.
Adrit Adri,5,2026-07-03 22:21:53,oke
Rafael Darwin,5,2026-07-03 22:20:38,Sangat senang berbelanja di shopee dari
ONNY SAPUTRA,5,2026-07-03 22:19:36,mantap
Mukhamad Vildan,1,2026-07-03 22:18:26,maksa bgt IKLAN NYA temp
Yadi Nuryadi,5,2026-07-03 22:18:01,Smoga smakin baik
Adel Ayiman,5,2026-07-03 22:17:55,membantu sekali
Sarah Agustina,5,2026-07-03 22:16:11,bagus
As Min,5,2026-07-03 22:15:24,terimakasih shopee
Pilar Teknik,4,2026-07-03 22:14:04,ok semoga pelayanan lebih baik
anak ajaib,5,2026-07-03 22:13:45,puas
Ach. Fahrusani,4,2026-07-03 22:05:05,Tambahkan fitur dark mode agar penglihatan lebih nyaman
Yuli ana,5,2026-07-03 22:01:43,shopping sangat membantu
Agus Buraga,5,2026-07-03 22:01:41,Belanja di Shopee harga murah dan barang baik.. sesuai dengan iklannya..
YUNUSTA MAGELANG,1,2026-07-03 21:58:42,Dapat spinjam 2jt gk bs diambil. update 4 juli 2026vakhirnya bisw
siti rahmah,2,2026-07-03 21:54:38,"member sudah mau platinum malah di turun lagi, gak respect lah. lagian pun udah member promo dan gratis ongkir sangat minim. harus nya bagi yg udah lama pakek aplikasi ini diskon,ongkir dll maksimalin lah, karna saya sudah lama pakek aplikasinya masah masih minim promo dll."
Rusdiyanto,2,2026-07-03 21:53:00,video live dan suara sangat mengganggu
Isma Li,5,2026-07-03 21:51:45,"sangat memby sebagai irt buat belanja kerna harganya yg ekonomis,trus gak ribet"
Aku Cahya,3,2026-07-03 21:51:03,"udah kapok sebenernya belanja di Shopee, ekspedisinya bener"" ter lamaa lelet, dan yg bikin tambah kesel tuh gda kontak kurir, kurir klo mau nyampein pesanan gda yg namanya nelpon dulu buat konfirmasi, jadi klo menurut dia penerima gak respon pas dipanggil dirumah ya dia bawa balik lagi, dikirim ulang atau dicancel sepihak. dan kenapa selalu harus SPX gituloh ekspedisinya, padahal LELET."
Sofyan Hudalloh,5,2026-07-03 21:44:36,"aplikasi yg bgs dan sgt membantu untuk memenuhi semua kebutuhan,"
Teguh A,5,2026-07-03 21:41:32,belanja yg praktis dan menyenangkan
Hanstitus Gunadi,4,2026-07-03 21:38:58,ok
Tunik Indar,5,2026-07-03 21:29:36,"pakai shopee setiap hari mempermudah belanja,barang nya rekomende , bagus 2 amanah"
Nurmansyah147 Mansyah,5,2026-07-03 21:09:35,its the best forever
Ernawati Ummu afizah,1,2026-07-03 20:49:13,aplikasi racun buat orang miskin tidak ada bedanya dengan rentenir aplikasi buat orang boros dan bisa jadikan orang melarak
Fabian arpilio Aprilio,5,2026-07-03 20:46:29,ok baik aplikasi nya
Bobby Baskara,5,2026-07-03 20:44:47,sekarang belanja ga perlu jauh di permudah dengan adanya shopee barang bagus harga murah amanah pula
Muhammad Sarwani,1,2026-07-03 20:42:58,shoppe skarang sekarang ini pelayannya lambat banget. pesan barang sdh 8 hari tp blom sampe. blkngan ini sdh 4 x brturut turut pelayanan lelet.
Lastri Lastri,5,2026-07-03 20:36:14,bagus
Agus Sudrajat,1,2026-07-03 20:26:28,"saya infokan disini biar apa yg sy alami tidak terjadi pada yg lainnya kebijakan shopee saat ini sangat merugikan konsumen soalnya ketika saya tdk terima paket pihak shopee tetap menganggap bahwa sy telah terima barangnya walaupun di apl shopee sy tdk klik pesanan diterima dan yg menikmati barang saya tukang paket kurir spx yg modalnya hanya foto paket didepan pagar rumah saya lalu paket jadi milik kurir,,,yg saya sampaikan ada buktinya"
Anih Kartini,2,2026-07-03 20:25:03,"woi shopee iklan lu jangan maksa dah nyeselin banget, iklan jud*l aja ga maksa"
Fit maar,5,2026-07-03 20:20:15,seru nya belanja belanja pesanan paket.. apa pun ada di APK shopee...harga terjangkau..👍👍
Yah Man,5,2026-07-03 20:10:25,"belanja di shope asik oke bnyk potongn harganya ada bnyak promonya dn dpt gratis ongkir barang"" yg dipesan baik bagus serta memuaskn pngirimn cpt"
Naura zafirah Alma,4,2026-07-03 20:04:37,"aku kurangi lagi bintangnya,soalnya semakin kesini pengiriman semakin lambat,dan juga banyak barang2 palsu gak jelas.pokoknya makin turun kualitasnya"
Oktav Ia,5,2026-07-03 20:01:21,koin shoppe sangat membantu bagi saya terimakasih shoppe sudah memeri kesempatan untuk klaim koin
Suci Auliya,5,2026-07-03 20:01:13,belanja memuaskan
Sisi Meera,5,2026-07-03 19:48:33,mantapp
Panji Pratama,2,2026-07-03 19:37:33,"shopee belakangan ini sepertinya kurang aman deh,banyak pesan penipuan yg g tau dari mana mereka para penipu ini me dapatkan nama akun kami,,tolong d tindak lanjuti para oknum yg menjual ID akun kami,terimakasih dan tolong keamanan ditingkatkan lagi🙏"
Stefany silaen Silaen,1,2026-07-03 19:30:30,mantap
Darsu Yanto,5,2026-07-03 19:20:47,cepat
Nurfitri Awaliah,5,2026-07-03 19:19:40,hebat
Lambe Memble,5,2026-07-03 19:16:33,sangat membantu
Kasman Kasim Zaitun,5,2026-07-03 19:15:54,"layànan cukup baik, hanya saja jadwal tiba sering tdk akurat"
